S801-2, 0.118, 0.167, 0.267, 0.309, 0.334, 0.384, 0.435, 0.603, 0.692, 0.780
S801-3, 0.118, 0.167, 0.267, 0.309, 0.334, 0.384, 0.435, 0.603, 0.692, 0.780
S801-4, 0.118, 0.167, 0.267, 0.309, 0.334, 0.384, 0.435, 0.603, 0.692, 0.780
S801-5, 0.118, 0.167, 0.267, 0.309, 0.334, 0.384, 0.435, 0.603, 0.692, 0.780
S801-6, 0.118, 0.167, 0.267, 0.309, 0.334, 0.384, 0.435, 0.603, 0.692, 0.780
S801-7, 0.118, 0.167, 0.267, 0.309, 0.334, 0.384, 0.435, 0.603, 0.692, 0.780
S801-8, 0.118, 0.167, 0.267, 0.309, 0.334, 0.384, 0.435, 0.603, 0.692, 0.780
S801-9, 0.118, 0.167, 0.267, 0.309, 0.334, 0.384, 0.435, 0.603, 0.692, 0.780
S802-2, 0.155, 0.265, 0.382, 0.497, 0.664, 0.690, 0.750, 0.721, 0.878, 0.935
S802-3, 0.155, 0.265, 0.382, 0.497, 0.664, 0.690, 0.750, 0.721, 0.878, 0.935
S802-4, 0.155, 0.265, 0.382, 0.497, 0.664, 0.690, 0.750, 0.721, 0.878, 0.935
S802-5, 0.155, 0.265, 0.382, 0.497, 0.664, 0.690, 0.750, 0.721, 0.878, 0.935
S802-6, 0.155, 0.265, 0.382, 0.497, 0.664, 0.690, 0.750, 0.721, 0.878, 0.935
S802-7, 0.155, 0.265, 0.382, 0.497, 0.664, 0.690, 0.750, 0.721, 0.878, 0.935
S802-8, 0.155, 0.265, 0.382, 0.497, 0.664, 0.690, 0.750, 0.721, 0.878, 0.935
S802-9, 0.155, 0.265, 0.382, 0.497, 0.664, 0.690, 0.750, 0.721, 0.878, 0.935
S803-2, 0.155, 0.265, 0.382, 0.497, 0.664, 0.690, 0.750, 0.721, 0.878, 0.935
S803-3, 0.155, 0.265, 0.382, 0.497, 0.664, 0.690, 0.750, 0.721, 0.878, 0.935
S803-4, 0.155, 0.265, 0.382, 0.497, 0.664, 0.690, 0.750, 0.721, 0.878, 0.935
S803-5, 0.155, 0.265, 0.382, 0.497, 0.664, 0.690, 0.750, 0.721, 0.878, 0.935
S803-6, 0.155, 0.265, 0.382, 0.497, 0.664, 0.690, 0.750, 0.721, 0.878, 0.935
S803-7, 0.155, 0.265, 0.382, 0.497, 0.664, 0.690, 0.750, 0.721, 0.878, 0.935
S803-8, 0.155, 0.265, 0.382, 0.497, 0.664, 0.690, 0.750, 0.721, 0.878, 0.935
S803-9, 0.155, 0.265, 0.382, 0.497, 0.664, 0.690, 0.750, 0.721, 0.878, 0.935
S804-2, 0.118, 0.167, 0.267, 0.309, 0.334, 0.384, 0.435, 0.603, 0.692, 0.780
S804-3, 0.118, 0.167, 0.267, 0.309, 0.334, 0.384, 0.435, 0.603, 0.692, 0.780
S804-4, 0.118, 0.167, 0.267, 0.309, 0.334, 0.384, 0.435, 0.603, 0.692, 0.780
S804-5, 0.118, 0.167, 0.267, 0.309, 0.334, 0.384, 0.435, 0.603, 0.692, 0.780
S804-6, 0.118, 0.167, 0.267, 0.309, 0.334, 0.384, 0.435, 0.603, 0.692, 0.780
S804-7, 0.118, 0.167, 0.267, 0.309, 0.334, 0.384, 0.435, 0.603, 0.692, 0.780
S804-8, 0.118, 0.167, 0.267, 0.309, 0.334, 0.384, 0.435, 0.603, 0.692, 0.780
S804-9, 0.118, 0.167, 0.267, 0.309, 0.334, 0.384, 0.435, 0.603, 0.692, 0.780
S901-2, 0.440, 0.476, 0.512, 0.553, 0.596, 0.646, 0.695, 0.751, 0.803, 0.848, 0.891, 0.937, 0.971, 1.004, 1.036, 1.072, 1.099, 1.141, 1.164, 1.200, 1.238, 1.271, 1.301, 1.323, 1.348, 1.375, 1.414, 1.447, 1.470, 1.496, 1.527, 1.561, 1.589, 1.630, 1.657, 1.691, 1.708, 1.717, 1.734, 1.750, 1.775, 1.792, 1.812, 1.828, 1.844, 1.871, 1.893, 1.914, 1.931, 1.958, 1.962, 1.973, 1.987, 2.011, 2.040, 2.061, 2.081, 2.111, 2.124, 2.142, 2.166, 2.197, 2.221, 2.255, 2.283, 2.304, 2.318, 2.349, 2.393, 2.420, 2.439, 2.460, 2.495, 2.522, 2.533, 2.563, 2.599, 2.627, 2.650, 2.673, 2.691, 2.712, 2.739, 2.763, 2.783
S901-3, 0.688, 0.747, 0.801, 0.867, 0.939, 1.022, 1.103, 1.198, 1.283, 1.355, 1.425, 1.504, 1.559, 1.613, 1.663, 1.722, 1.763, 1.833, 1.870, 1.930, 1.982, 2.040, 2.076, 2.110, 2.143, 2.191, 2.264, 2.333, 2.372, 2.411, 2.458, 2.508, 2.553, 2.614, 2.646, 2.711, 2.742, 2.769, 2.787, 2.824, 2.865, 2.894, 2.927, 2.946, 2.955, 2.987, 3.025, 3.062, 3.097, 3.157, 3.169, 3.193, 3.203, 3.241, 3.277, 3.309, 3.340, 3.390, 3.408, 3.430, 3.468, 3.522, 3.563, 3.618, 3.663, 3.697, 3.701, 3.752, 3.823, 3.871, 3.899, 3.938, 3.999, 4.041, 4.050, 4.101, 4.160, 4.205, 4.240, 4.280, 4.313, 4.348, 4.393, 4.435, 4.467
S901-4, 0.695, 0.754, 0.808, 0.874, 0.946, 1.029, 1.109, 1.205, 1.289, 1.361, 1.430, 1.507, 1.561, 1.613, 1.663, 1.721, 1.760, 1.832, 1.867, 1.924, 1.977, 2.035, 2.070, 2.104, 2.138, 2.181, 2.249, 2.316, 2.355, 2.395, 2.442, 2.491, 2.535, 2.588, 2.617, 2.680, 2.711, 2.733, 2.749, 2.786, 2.821, 2.850, 2.883, 2.905, 2.914, 2.946, 2.982, 3.022, 3.053, 3.103, 3.121, 3.145, 3.158, 3.195, 3.237, 3.267, 3.298, 3.351, 3.367, 3.391, 3.430, 3.483, 3.519, 3.573, 3.616, 3.651, 3.663, 3.712, 3.780, 3.828, 3.855, 3.890, 3.949, 3.992, 4.000, 4.050, 4.111, 4.157, 4.195, 4.239, 4.274, 4.310, 4.358, 4.401, 4.437
S901-5, 0.709, 0.767, 0.821, 0.885, 0.956, 1.039, 1.118, 1.213, 1.296, 1.367, 1.436, 1.511, 1.562, 1.613, 1.664, 1.721, 1.758, 1.829, 1.863, 1.928, 1.979, 2.037, 2.069, 2.099, 2.141, 2.185, 2.262, 2.322, 2.361, 2.403, 2.454, 2.501, 2.545, 2.603, 2.628, 2.705, 2.729, 2.755, 2.772, 2.813, 2.850, 2.866, 2.897, 2.909, 2.927, 2.961, 2.998, 3.029, 3.064, 3.113, 3.128, 3.158, 3.158, 3.196, 3.234, 3.262, 3.292, 3.348, 3.368, 3.394, 3.432, 3.488, 3.527, 3.578, 3.626, 3.658, 3.673, 3.721, 3.789, 3.837, 3.868, 3.903, 3.961, 4.002, 4.008, 4.061, 4.134, 4.193, 4.241, 4.293, 4.343, 4.390, 4.450, 4.504, 4.552
S901-6, 0.694, 0.754, 0.807, 0.874, 0.945, 1.028, 1.108, 1.203, 1.287, 1.358, 1.428, 1.505, 1.558, 1.611, 1.661, 1.719, 1.759, 1.831, 1.865, 1.925, 1.978, 2.037, 2.071, 2.104, 2.139, 2.184, 2.259, 2.329, 2.367, 2.408, 2.456, 2.504, 2.549, 2.607, 2.635, 2.703, 2.733, 2.755, 2.772, 2.812, 2.851, 2.880, 2.912, 2.927, 2.934, 2.968, 3.005, 3.046, 3.078, 3.133, 3.147, 3.173, 3.182, 3.222, 3.265, 3.294, 3.323, 3.372, 3.389, 3.413, 3.451, 3.506, 3.546, 3.601, 3.643, 3.678, 3.685, 3.735, 3.802, 3.851, 3.878, 3.910, 3.970, 4.013, 4.022, 4.073, 4.132, 4.178, 4.214, 4.252, 4.284, 4.319, 4.365, 4.407, 4.441
S901-7, 0.423, 0.460, 0.496, 0.536, 0.580, 0.630, 0.680, 0.736, 0.789, 0.834, 0.879, 0.926, 0.960, 0.993, 1.024, 1.060, 1.086, 1.128, 1.150, 1.189, 1.230, 1.264, 1.293, 1.313, 1.343, 1.368, 1.407, 1.436, 1.459, 1.483, 1.513, 1.554, 1.581, 1.620, 1.639, 1.676, 1.689, 1.695, 1.709, 1.725, 1.751, 1.761, 1.782, 1.797, 1.816, 1.836, 1.860, 1.880, 1.892, 1.918, 1.924, 1.939, 1.948, 1.974, 1.998, 2.016, 2.034, 2.065, 2.079, 2.096, 2.124, 2.157, 2.185, 2.219, 2.245, 2.263, 2.275, 2.302, 2.339, 2.367, 2.380, 2.402, 2.433, 2.460, 2.464, 2.492, 2.529, 2.554, 2.576, 2.598, 2.618, 2.643, 2.673, 2.699, 2.724
S902-2, 0.440, 0.476, 0.512, 0.553, 0.596, 0.646, 0.695, 0.751, 0.803, 0.848, 0.891, 0.937, 0.971, 1.004, 1.036, 1.072, 1.099, 1.141, 1.164, 1.200, 1.238, 1.271, 1.301, 1.323, 1.348, 1.375, 1.414, 1.447, 1.470, 1.496, 1.527, 1.561, 1.589, 1.630, 1.657, 1.691, 1.708, 1.717, 1.734, 1.750, 1.775, 1.792, 1.812, 1.828, 1.844, 1.871, 1.893, 1.914, 1.931, 1.958, 1.962, 1.973, 1.987, 2.011, 2.040, 2.061, 2.081, 2.111, 2.124, 2.142, 2.166, 2.197, 2.221, 2.255, 2.283, 2.304, 2.318, 2.349, 2.393, 2.420, 2.439, 2.460, 2.495, 2.522, 2.533, 2.563, 2.599, 2.627, 2.650, 2.673, 2.691, 2.712, 2.739, 2.763, 2.783
S902-3, 0.420, 0.457, 0.492, 0.533, 0.577, 0.628, 0.677, 0.734, 0.786, 0.831, 0.875, 0.922, 0.956, 0.990, 1.022, 1.056, 1.083, 1.123, 1.146, 1.182, 1.227, 1.260, 1.290, 1.312, 1.334, 1.360, 1.400, 1.441, 1.467, 1.493, 1.523, 1.563, 1.593, 1.625, 1.652, 1.687, 1.704, 1.705, 1.720, 1.736, 1.760, 1.785, 1.807, 1.825, 1.832, 1.852, 1.874, 1.895, 1.904, 1.933, 1.948, 1.961, 1.976, 2.000, 2.027, 2.046, 2.067, 2.093, 2.099, 2.118, 2.138, 2.167, 2.189, 2.217, 2.245, 2.266, 2.276, 2.304, 2.342, 2.367, 2.388, 2.408, 2.443, 2.470, 2.481, 2.511, 2.544, 2.573, 2.598, 2.625, 2.649, 2.672, 2.700, 2.726, 2.747
S902-4, 0.461, 0.497, 0.533, 0.575, 0.620, 0.671, 0.721, 0.777, 0.830, 0.875, 0.920, 0.967, 1.000, 1.033, 1.064, 1.097, 1.123, 1.160, 1.184, 1.220, 1.262, 1.294, 1.325, 1.347, 1.367, 1.393, 1.432, 1.473, 1.496, 1.525, 1.557, 1.598, 1.630, 1.667, 1.695, 1.731, 1.747, 1.750, 1.768, 1.782, 1.806, 1.830, 1.851, 1.867, 1.873, 1.893, 1.911, 1.928, 1.935, 1.960, 1.967, 1.978, 1.989, 2.010, 2.037, 2.054, 2.072, 2.097, 2.104, 2.121, 2.141, 2.170, 2.191, 2.221, 2.249, 2.270, 2.280, 2.306, 2.346, 2.371, 2.394, 2.411, 2.446, 2.471, 2.482, 2.512, 2.545, 2.573, 2.597, 2.624, 2.645, 2.667, 2.694, 2.719, 2.742
S902-5, 0.421, 0.458, 0.494, 0.536, 0.580, 0.630, 0.680, 0.737, 0.789, 0.835, 0.879, 0.927, 0.961, 0.995, 1.027, 1.061, 1.088, 1.129, 1.152, 1.189, 1.231, 1.264, 1.294, 1.317, 1.338, 1.362, 1.398, 1.434, 1.458, 1.486, 1.516, 1.553, 1.582, 1.615, 1.643, 1.678, 1.693, 1.697, 1.713, 1.728, 1.752, 1.776, 1.798, 1.820, 1.831, 1.852, 1.873, 1.893, 1.905, 1.933, 1.945, 1.955, 1.971, 1.993, 2.025, 2.045, 2.065, 2.092, 2.101, 2.119, 2.139, 2.169, 2.191, 2.223, 2.251, 2.272, 2.283, 2.311, 2.357, 2.381, 2.404, 2.420, 2.455, 2.483, 2.500, 2.532, 2.566, 2.593, 2.616, 2.641, 2.660, 2.682, 2.709, 2.733, 2.754
