BLK 1
MOD 1000
PTH 00, 0.45  \\S301-1 to 2
PTH 01, 0.49  \\S301-3 to 4
PTH 02, 0.49  \\S301-5 to 6
PTH 03, 0.51  \\S301-7 to 8
PTH 04, 0.52  \\S301-9 to 10
PTH 05, 0.55  \\S301-11 to 12
PTH 06, 0.46  \\S301-13 to 14
PTH 07, 0.47  \\S301-15 to 16
PTH 08, 0.48  \\S301-17 to 18
PTH 09, 0.49  \\S301-19 to 20
PTH 10, 0.54  \\S301-21 to 22
PTH 11, 0.52  \\S301-23 to 24
PTH 12, 0.45  \\S301-25 to 26
PTH 13, 0.49  \\S301-27 to 28
PTH 14, 0.48  \\S301-29 to 30
PTH 15, 0.50  \\S301-31 to 32
PTH 16, 0.51  \\S301-33 to 34
PTH 17, 0.57  \\S301-35 to 36
PTH 18, 0.44  \\S301-37 to 38
PTH 19, 0.47  \\S301-39 to 40
PTH 20, 0.48  \\S301-41 to 42
PTH 21, 0.47  \\S301-43 to 44
PTH 22, 0.51  \\S301-45 to 46
PTH 23, 0.56  \\S301-47 to 48
PTH 24, 0.47  \\S301-49 to 50
PTH 25, 0.48  \\S301-51 to 52
PTH 26, 0.45  \\S301-53 to 54
PTH 27, 0.52  \\S301-55 to 56
PTH 28, 0.52  \\S301-57 to 58
PTH 29, 0.55  \\S301-59 to 60
PTH 30, 0.42  \\S301-61 to 62
PTH 31, 0.47  \\S301-63 to 64
PTH 32, 0.49  \\S301-65 to 66
PTH 33, 0.51  \\S301-67 to 68
PTH 34, 0.49  \\S301-69 to 70
PTH 35, 0.53  \\S301-71 to 72
PTH 36, 0.44  \\S301-73 to 74
PTH 37, 0.49  \\S301-75 to 76
PTH 38, 0.50  \\S301-77 to 78
PTH 39, 0.52  \\S301-79 to 80
PTH 40, 0.53  \\S301-81 to 82
PTH 41, 0.56  \\S301-83 to 84
PTH 42, 0.49  \\S301-85 to 86
PTH 43, 0.50  \\S301-87 to 88
PTH 44, 0.52  \\S301-89 to 90
PTH 45, 0.54  \\S301-91 to 92
PTH 46, 0.54  \\S301-93 to 94
PTH 47, 0.56  \\S301-95 to 96
MOD 2000
PTH 00, 0.56  \\S601-1 to 2
PTH 01, 0.54  \\S601-1 to 3
MOD 2100
PTH 00, 0.54  \\S602-1 to 2
PTH 01, 0.54  \\S602-1 to 3
MOD 2200
PTH 00, 0.53  \\S603-1 to 2
PTH 01, 0.55  \\S603-1 to 3
MOD 2300
PTH 00, 0.56  \\S604-1 to 2
PTH 01, 0.54  \\S604-1 to 3
MOD 2400
PTH 00, 0.55  \\S605-1 to 2
PTH 01, 0.58  \\S605-1 to 3
MOD 2500
PTH 00, 0.64  \\S606-1 to 2
PTH 01, 0.63  \\S606-1 to 3
MOD 3000
PTH 00, 0.52  \\S401-1 to 2
PTH 01, 0.55  \\S401-1 to 3
PTH 02, 0.55  \\S401-1 to 4
PTH 03, 0.52  \\S401-1 to 5
MOD 3100
PTH 00, 0.55  \\S402-1 to 2
PTH 01, 0.56  \\S402-1 to 3
PTH 02, 0.59  \\S402-1 to 4
PTH 03, 0.58  \\S402-1 to 5
MOD 3200
PTH 00, 0.59  \\S403-1 to 2
PTH 01, 0.61  \\S403-1 to 3
PTH 02, 0.62  \\S403-1 to 4
PTH 03, 0.60  \\S403-1 to 5
MOD 4000
PTH 00, 0.56  \\S501-1 to 3
PTH 01, 0.55  \\S501-1 to 4
PTH 02, 0.54  \\S501-1 to 5
PTH 03, 0.55  \\S501-1 to 6
PTH 04, 0.56  \\S501-1 to 7
PTH 05, 0.58  \\S501-1 to 8
PTH 06, 0.59  \\S501-1 to 9
PTH 07, 0.57  \\S501-1 to 10
PTH 10, 0.59  \\S501-2 to 3
PTH 11, 0.57  \\S501-2 to 4
PTH 12, 0.57  \\S501-2 to 5
PTH 13, 0.58  \\S501-2 to 6
PTH 14, 0.59  \\S501-2 to 7
PTH 15, 0.59  \\S501-2 to 8
PTH 16, 0.62  \\S501-2 to 9
PTH 17, 0.61  \\S501-2 to 10
MOD 4100
PTH 00, 0.58  \\S502-1 to 3
PTH 01, 0.57  \\S502-1 to 4
PTH 02, 0.56  \\S502-1 to 5
PTH 03, 0.57  \\S502-1 to 6
PTH 04, 0.57  \\S502-1 to 7
PTH 05, 0.59  \\S502-1 to 8
PTH 06, 0.61  \\S502-1 to 9
PTH 07, 0.62  \\S502-1 to 10
PTH 10, 0.63  \\S502-2 to 3
PTH 11, 0.61  \\S502-2 to 4
PTH 12, 0.60  \\S502-2 to 5
PTH 13, 0.63  \\S502-2 to 6
PTH 14, 0.63  \\S502-2 to 7
PTH 15, 0.64  \\S502-2 to 8
PTH 16, 0.66  \\S502-2 to 9
PTH 17, 0.67  \\S502-2 to 10
MOD 4200
PTH 00, 0.59  \\S503-1 to 3
PTH 01, 0.56  \\S503-1 to 4
PTH 02, 0.55  \\S503-1 to 5
PTH 03, 0.58  \\S503-1 to 6
PTH 04, 0.57  \\S503-1 to 7
PTH 05, 0.58  \\S503-1 to 8
PTH 06, 0.58  \\S503-1 to 9
PTH 07, 0.58  \\S503-1 to 10
PTH 10, 0.62  \\S503-2 to 3
PTH 11, 0.57  \\S503-2 to 4
PTH 12, 0.57  \\S503-2 to 5
PTH 13, 0.61  \\S503-2 to 6
PTH 14, 0.61  \\S503-2 to 7
